Filename,Type,Start_Packet_number,End_Packet_number,Incompleteness(100*missing/16621)
F20250109155612.bin,OK,0,0,0
mock_1_F20250109130351.bin,OK,0,0,0
mock_2_F20250109130351.bin,HK,1068,1170,-1
F20250109130351.bin,IM,0,46,0.2827748029601107
F20250109130351.bin,HK,1068,1614,-1
F20250109130351.bin,HK,3235,3254,-1
F20250109130351.bin,HK,4861,5167,-1
F20250109130351.bin,HK,6359,6583,-1
F20250109130351.bin,HK,6678,6706,-1
mock_2_F20250109130351.bin,HK,1068,1170,-1
mock_1_F20250109130351.bin,OK,0,0,0
